sourceId;lat;lon;elev;value;prid;dqc
METSN50480:0;60.2913;5.2777;37;7.1;1;0
METSN54600:0;61.10988;8.03686;806;2.5;1;0
METSN26900:0;59.7538;10.1207;6;3.5;1;0
METSN71850:0;64.1727;9.4052;16;7.2;1;0
METSN11500:0;60.7002;10.8695;264;3.1;1;0
METSN78360:0;66.1317;13.5867;126;1.3;1;0
METSN70680:0;63.9425;11.4255;59;5.1;1;0
METSN99370:0;69.7255;29.8977;89;-11.8;1;0
METSN53680:0;60.8625;7.1603;860;2.4;1;0
METSN23800:0;61.1973;8.3807;517;-1.7;1;0
METSN90720:0;69.9903;18.6938;26;-0.8;1;0
METSN89980:0;69.0935;19.6278;230;-5.8;1;0
METSN62480:0;62.8585;6.5378;20;8.2;1;0
METSN98090:0;70.8708;29.0348;13;-8.6;1;0
METSN43010:0;58.507;6.5045;65;5.8;1;0
METSN55928:0;61.2028;6.5285;15;6.2;1;0
METSN86520:0;68.648;15.2832;14;1.4;1;0
METSN50310:0;60.3887;5.964;455;2.9;1;0
METSN54710:0;61.178;8.1125;956;-0.8;1;0
METSN91430:0;69.2235;20.5795;502;-11.9;1;0
METSN71780:0;63.9678;10.2237;30;6.2;1;0
METSN64870:0;63.0493;9.0878;410;5.4;1;0
METSN32890:0;59.497;8.1992;560;1.8;1;0
METSN15730:0;61.8957;7.8955;664;-0.4;1;0
METSN27261:0;59.2625;10.4985;9;4.7;1;0
METSN84210:0;68.1905;17.7905;740;-4.8;1;0
METSN84500:0;68.432;17.662;200;-1.6;1;0
METSN13655:0;61.5308;9.4023;928;-1.1;1;0
METSN19940:0;59.7908;10.2598;39;3.3;1;0
METSN26590:0;59.7445;10.2312;4;3.3;1;0
METSN80200:0;66.3892;13.1848;115;3.1;1;0
METSN57000:0;61.391;5.76;321;4.9;1;0
METSN59800:0;62.3293;5.268;38;8.1;1;0
METSN9580:0;62.2695;10.732;482;1.8;1;0
METSN28922:0;60.0435;9.1468;275;1.4;1;0
METSN36330:0;58.5158;8.7028;134;4.9;1;0
METSN50865:0;60.3828;5.542;345;4.2;1;0
METSN55820:0;61.4233;6.7642;3;5;1;0
METSN47890:0;59.85778;6.01692;38;6.4;1;0
METSN83710:0;68.0483;16.0832;6;0.5;1;0
METSN80615:0;66.6432;13.9298;1362;-8.1;1;0
METSN180:0;61.2943;12.2718;360;1.2;1;0
METSN29400:0;60.1833;7.4805;1250;-2.3;1;0
METSN49420:0;60.128;6.6293;470;5;1;0
METSN68050:0;63.4428;10.4428;13;5.6;1;0
METSN82720:0;67.3335;15.8282;665;-4.5;1;0
METSN48330:0;59.907;5.0668;25;6.9;1;0
METSN89010:0;69.2897;18.1288;982;-11.5;1;0
METSN26802:0;59.7328;10.0258;166;3.4;1;0
METSN38140:0;58.34;8.5225;6;6.2;1;0
METSN49800:0;60.4085;7.2798;735;2.4;1;0
METSN50570:0;60.404;5.3358;175;5;1;0
METSN60800:0;62.4775;6.8167;5;6;1;0
METSN92650:0;70.2368;22.0705;27;-2.4;1;0
METSN84900:0;68.4323;18.0767;512;-9;1;0
METSN84701:0;68.4372;17.4212;31;-1.6;1;0
METSN26996:0;59.6473;10.1052;437;2.3;1;0
METSN76914:0;59.66009;10.78212;93;4.5;1;0
METSN87000:0;68.7183;15.3112;500;-3.1;1;0
METSN94680:0;71.0105;25.9782;14;-6.4;1;0
METSN93000:0;70.607;22.4428;438;-9.6;1;0
METSN44640:0;58.9563;5.7278;72;6.7;1;0
METSN96890:0;69.9363;28.3773;418;-14.3;1;0
METSN60620:0;62.3292;7.5135;312;6;1;0
METSN31210:0;60.1;8.2667;1125;-1.3;1;0
METSN44190:0;58.7345;5.7262;92;6.2;1;0
METSN12180:0;60.8028;11.2028;182;3.5;1;0
METSN4260:0;59.9775;10.9777;143;3.4;1;0
METSN23410:0;61.0032;9.30141;822;-1.3;1;0
METSN76750:0;65.9635;12.4783;17;5.1;1;0
METSN91530:0;69.4818;20.5787;1237;-14.3;1;0
METSN69655:0;63.5652;10.6932;32;5.2;1;0
METSN27406:0;59.169;10.4238;2;5.5;1;0
METSN39750:0;58.6863;7.803;207;4.2;1;0
METSN21680:0;60.9345;10.0358;542;0.7;1;0
