sourceId;lon;lat;elev;value;prid;dqc;sct;rep
SN41200:0;7.5927;58.3195;275;NA;2;1;NA;NA
SN41480:0;7.4128;58.6172;268;10.4;2;7;2.21;2
SN41550:0;7.3501;58.7878;504;NA;2;1;NA;NA
SN41860:0;6.9827;58.2435;317;NA;2;1;NA;NA
SN420:0;11.9965;61.6847;481;NA;2;1;NA;NA
SN42520:0;6.9443;58.6577;348;NA;2;1;NA;NA
SN42650:0;6.6498;58.28415;5;NA;2;1;NA;NA
SN42720:0;6.657;58.4117;75;NA;2;1;NA;NA
SN44160:0;5.6418;58.6947;19;NA;2;1;NA;NA
SN44480:0;5.9817;58.6855;263;NA;2;1;NA;NA
SN44800:0;5.9202;58.8185;230;NA;2;1;NA;NA
SN46150:0;6.276;59.4791;25;NA;2;1;NA;NA
SN46220:0;6.4697;59.4128;639;6;2;7;0.2;0.51955
SN46300:0;6.809;59.5887;333;NA;2;1;NA;NA
SN46432:0;6.7108;59.8357;1370;-0.3;2;7;4.29;2
SN46450:0;6.8238;59.8304;393;NA;2;1;NA;NA
SN46850:0;5.9902;59.5532;159;NA;2;1;NA;NA
SN47090:0;5.6257;59.5033;5;NA;2;1;NA;NA
SN4740:0;11.051;60.1742;187;NA;2;1;NA;NA
SN47450:0;5.4335;59.6532;36;NA;2;1;NA;NA
SN47498:0;5.9538;59.6625;8;10.2;2;7;0.3;0.5
SN47820:0;6.2786;59.8594;178;NA;2;1;NA;NA
SN48500:0;6.0263;59.9913;75;NA;2;1;NA;NA
SN49080:0;6.3857;60.2795;342;NA;2;1;NA;NA
SN49085:0;6.4347;60.2263;1212;0.9;2;0;2.57;2
SN49087:0;6.4298;60.2178;1390;-0.1;2;0;0.9;2
SN49420:0;6.6293;60.128;470;7.3;2;7;1.16;0.81844
SN49631:0;7.0685;60.4647;20;NA;2;1;NA;NA
SN50080:0;6.1927;60.379;108;NA;2;1;NA;NA
SN50150:0;5.9057;60.0422;45;NA;2;1;NA;NA
SN51250:0;5.9647;60.6887;316;NA;2;1;NA;NA
SN51990:0;6.4733;60.8655;700;4.8;2;7;0.29;0.5
SN52170:0;6.1469;60.8028;450;NA;2;1;NA;NA
SN52220:0;6.2645;60.8289;579;NA;2;1;NA;NA
SN52400:0;5.3742;60.6268;72;NA;2;1;NA;NA
SN52475:0;4.8933;60.5313;30;NA;2;1;NA;NA
SN52750:0;5.2108;60.8462;13;NA;2;1;NA;NA
SN52930:0;5.425;60.9585;240;NA;2;1;NA;NA
SN52990:0;6.134;61.1095;4;NA;2;1;NA;NA
SN53070:0;6.5813;61.0728;65;NA;2;1;NA;NA
SN53130:0;6.9345;61.0688;32;NA;2;1;NA;NA
SN53160:0;6.7243;60.9004;614;NA;2;1;NA;NA
SN5350:0;11.558;60.3883;147;14.5;2;7;0.57;0.92179
SN53700:0;7.2008;60.9027;15;NA;2;1;NA;NA
SN54600:0;8.036;61.1093;806;NA;2;1;NA;NA
SN55300:0;7.606;61.4962;17;NA;2;1;NA;NA
SN55420:0;7.2765;61.6517;243;8.1;2;7;3.37;0.93575
SN55425:0;7.389;61.5963;1585;-1.7;2;7;2.94;2
SN55550:0;7.1887;61.2925;246;NA;2;1;NA;NA
SN55670:0;7.034;61.4783;172;NA;2;1;NA;NA
SN55730:0;6.9335;61.3348;421;NA;2;1;NA;NA
SN56320:0;5.5413;61.1122;31;NA;2;1;NA;NA
SN56400:0;4.6693;61.007;3;NA;2;1;NA;NA
SN56520:0;5.4342;61.232;85;NA;2;1;NA;NA
SN56780:0;5.7267;61.3435;47;NA;2;1;NA;NA
SN56850:0;6.1983;61.3262;243;NA;2;1;NA;NA
SN56960:0;6.3758;61.4202;311;6.8;2;7;0.16;0.78771
SN57340:0;6.096;61.4573;980;1.7;2;7;2.19;2
SN57390:0;6.4873;61.5722;205;NA;2;1;NA;NA
SN57480:0;6.0586;61.5349;237;NA;2;1;NA;NA
SN57660:0;5.8163;61.6415;170;NA;2;1;NA;NA
SN57790:0;5.2007;61.6788;715;3.9;2;7;0.61;1.10056
SN57850:0;5.5333;61.8986;78;NA;2;1;NA;NA
SN57940:0;5.6674;61.83195;24;NA;2;1;NA;NA
SN57990:0;5.9468;61.6594;230;NA;2;1;NA;NA
SN58070:0;6.1837;61.788;51;NA;2;1;NA;NA
SN58320:0;6.6092;61.708;315;NA;2;1;NA;NA
SN58390:0;6.6;61.838;70;NA;2;1;NA;NA
SN58480:0;6.8052;61.69;40;NA;2;1;NA;NA
SN58780:0;6.0368;61.9178;34;NA;2;1;NA;NA
SN58860:0;6.1065;61.8902;1020;2.2;2;5;11.62;NA
SN58960:0;6.6497;62.0033;349;NA;2;1;NA;NA
SN59250:0;5.088;61.9985;3;NA;2;1;NA;NA
SN59450:0;5.2115;62.1467;75;9.5;2;7;0.01;0.5
SN59695:0;6.2877;62.16;690;4.4;2;7;4.27;2
SN59900:0;6.4657;62.2027;21;NA;2;1;NA;NA
SN60:0;12.499;61.5581;564;NA;2;1;NA;NA
SN60190:0;6.849;62.3065;1050;1.7;2;7;0.78;1.97207
SN60400:0;7.2418;62.2418;28;NA;2;1;NA;NA
SN60620:0;7.5077;62.3242;312;NA;2;1;NA;NA
SN60800:0;6.8167;62.4775;5;10.2;2;7;2.4;0.69274
SN610:0;11.8408;61.84335;690;NA;2;1;NA;NA
SN61040:0;6.3187;62.6017;13;NA;2;1;NA;NA
SN62295:0;7.2088;62.756;258;7.4;2;7;2.31;2
SN62900:0;7.3905;62.8915;49;NA;2;1;NA;NA
SN62980:0;7.925;62.93;990;2.2;2;7;3.93;2
SN63100:0;8.4219;62.6855;47;NA;2;1;NA;NA
SN63530:0;8.9773;62.5095;698;NA;2;1;NA;NA
SN63580:0;9.1967;62.6708;596;NA;2;1;NA;NA
SN63630:0;9.392;62.6352;1550;0.2;2;7;4.06;2
SN63750:0;9.646;62.5738;512;NA;2;1;NA;NA
SN6440:0;12.369;60.6925;276;NA;2;1;NA;NA
SN65230:0;9.0115;63.2613;45;NA;2;1;NA;NA
SN65370:0;8.063;63.4197;30;NA;2;1;NA;NA
