souid;lat;lon;value;elev;prid;dqc;sct;rep
2742;59.74876;10.29865;0.1;0;2;0;0.03;NA
2771;59.50453;5.58177;0;0;2;1;NA;NA
2772;59.9116;10.7484;0.2;0;2;0;1.11;NA
2773;59.94272;11.01609;0;0;2;0;0.78;NA
2776;59.87299;10.51292;0.1;0;2;0;0.03;NA
2780;59.50245;10.07407;0.7;0;2;0;0.12;NA
2785;65.07411;11.95433;0;0;2;1;NA;NA
2788;58.17156;8.08331;0.2;0;2;1;NA;NA
2795;63.39851;10.33612;0;0;2;1;NA;NA
2801;58.72927;5.64629;0;0;2;1;NA;NA
2807;59.279;10.45827;0.3;0;2;0;0.15;NA
2811;59.90013;10.56559;0.1;0;2;0;0.07;NA
2812;58.55374;7.77341;0.4;0;2;1;NA;NA
2820;60.70532;10.8113;0;0;2;1;NA;NA
2821;58.47608;8.79462;0;0;2;1;NA;NA
2822;59.59594;5.58656;0.1;0;2;1;NA;NA
2845;59.94847;10.69992;0.2;0;2;0;0.08;NA
2848;58.93074;5.74566;0.1;0;2;1;NA;NA
2876;59.59383;11.33472;0.2;0;2;0;0.18;NA
2882;63.41781;10.49706;0;0;2;1;NA;NA
2895;59.97999;11.0278;0;0;2;0;1.49;NA
2897;60.86569;11.56763;0;0;2;1;NA;NA
2899;61.05127;7.54892;0;0;2;1;NA;NA
2910;58.16759;8.16113;0;0;2;1;NA;NA
2915;60.62956;6.42215;0;0;2;1;NA;NA
2918;59.76256;10.85422;0.1;0;2;0;0.52;NA
2921;64.85617;11.6112;0;0;2;1;NA;NA
2925;59.93655;10.66068;0.3;0;2;0;0.94;NA
2928;60.54045;5.06117;0;0;2;1;NA;NA
2932;59.81977;11.4932;0;0;2;0;2.75;NA
2934;59.41358;5.26799;0.1;0;2;1;NA;NA
2939;63.28233;10.43396;0;0;2;1;NA;NA
2942;60.32098;11.24102;0.1;0;2;0;1.46;NA
2951;60.73479;11.29333;0.1;0;2;1;NA;NA
2958;60.52432;5.19444;0;0;2;1;NA;NA
2961;63.99475;10.01419;0;0;2;1;NA;NA
2973;59.89144;10.69596;0.2;0;2;0;1.09;NA
2977;58.72921;5.66578;0;0;2;1;NA;NA
2997;63.26633;8.36993;0;0;2;1;NA;NA
2998;60.3911;5.3247;0;0;2;1;NA;NA
3002;58.99302;5.91383;0;0;2;1;NA;NA
3004;62.21941;6.24956;0;0;2;1;NA;NA
3006;63.04334;7.53689;0;0;2;1;NA;NA
3008;60.41256;5.32245;0;0;2;1;NA;NA
3009;59.76999;5.49685;0.2;0;2;1;NA;NA
3011;60.8809;10.9395;0.1;0;2;1;NA;NA
3012;59.85729;10.80705;0;0;2;0;1.8;NA
3019;59.94743;11.03761;0;0;2;0;0.62;NA
3031;59.94385;11.01785;0;0;2;0;0.77;NA
3033;60.38877;5.22894;0;0;2;1;NA;NA
3043;62.20764;6.14279;0;0;2;1;NA;NA
3049;60.88826;10.95839;0;0;2;1;NA;NA
3051;58.30001;6.63913;0.1;0;2;1;NA;NA
3059;58.99263;9.85897;0.4;0;2;0;1.77;NA
3060;59.27396;5.30871;0;0;2;1;NA;NA
3064;59.19627;10.37792;0.1;0;2;0;0.17;NA
3068;63.47314;11.11933;0;0;2;1;NA;NA
3075;59.87983;10.84602;0.1;0;2;0;0.97;NA
3076;59.42304;5.3987;0;0;2;1;NA;NA
3081;59.10247;10.2448;0.2;0;2;0;0.44;NA
3097;60.25041;10.38766;0.1;0;2;5;5.85;NA
3112;59.93732;10.68427;0.3;0;2;0;1.2;NA
3116;63.42262;10.75145;0;0;2;1;NA;NA
3121;63.53159;9.42548;0;0;2;1;NA;NA
3129;60.393;5.3242;0;0;2;1;NA;NA
3130;59.66814;6.00516;0;0;2;1;NA;NA
3137;60.37951;5.1981;0;0;2;1;NA;NA
3140;59.01452;5.58782;0;0;2;1;NA;NA
3143;59.04475;9.22881;0.6;0;2;0;0.23;NA
3148;58.85844;5.56665;0;0;2;1;NA;NA
3149;59.93536;5.86157;0;0;2;1;NA;NA
3150;61.5682;10.27633;0;0;2;1;NA;NA
3156;63.2843;10.21318;0;0;2;1;NA;NA
3169;68.65543;15.33412;0;0;2;1;NA;NA
3178;60.84618;11.29732;0;0;2;1;NA;NA
3179;68.42115;17.33048;0;0;2;1;NA;NA
3182;59.91758;10.58045;0.2;0;2;0;0.17;NA
3190;59.19778;6.04919;0;0;2;1;NA;NA
3222;58.81758;5.92431;0;0;2;1;NA;NA
3225;70.66239;23.67666;0;0;2;1;NA;NA
3226;59.60275;9.73271;0.7;0;2;0;0.13;NA
