lat;lon;elev;value;prid;dqc;sct;rep
59.47158;9.0099;749;8.8;3;0;6.35;NA
60.20816;11.63531;140;0;3;8;NA;NA
58.98836;10.02772;23;2.3;3;0;2;NA
59.74245;10.5987;80;0.4;3;12;0.66;NA
59.24736;10.93178;48;1.1;3;12;0;NA
59.58827;11.14325;115;0.6;3;0;0.06;NA
59.85287;10.81723;135;1.3;3;12;0.19;NA
59.70679;10.84536;123;0.6;3;0;0.94;NA
60.34217;10.45694;269;3.2;3;0;0.92;NA
59.24197;9.5736;49;2.4;3;0;0.56;NA
59.94003;10.4936;198;1.4;3;0;0.01;NA
59.90923;10.8592;198;0;3;13;NA;NA
59.96369;10.88375;222;1.6;3;0;0.07;NA
59.17556;10.38441;18;1.7;3;0;2.97;NA
59.42625;11.43962;131;1.8;3;0;0.04;NA
59.52842;12.48169;161;2.6;3;8;NA;NA
60.35773;11.22787;178;1;3;8;NA;NA
59.98438;12.12801;149;1.1;3;8;NA;NA
59.84673;10.78919;55;2;3;12;2.18;NA
59.88607;10.83677;138;1.1;3;12;2.53;NA
59.40865;10.45827;51;1.5;3;0;0.1;NA
59.25838;10.47456;12;1.6;3;0;0.21;NA
60.44906;12.0635;154;0;3;8;NA;NA
59.33017;10.48936;30;1.3;3;0;0.34;NA
59.67354;9.67715;252;5.6;3;0;0;NA
59.9831;11.03363;163;1.5;3;0;0.85;NA
59.75866;10.84996;138;0.7;3;0;0.01;NA
59.17591;10.93407;18;0.9;3;12;0.14;NA
59.90147;10.75288;2;2.4;3;0;1.77;NA
59.45546;9.02989;490;3.4;3;0;0.3;NA
59.27742;10.42232;17;0.2;3;13;NA;NA
59.5842;9.7865;76;4;3;0;0.51;NA
59.75823;9.39016;661;1.7;3;8;NA;NA
60.3109;11.6257;193;1.2;3;8;NA;NA
59.71206;10.81826;148;0.4;3;0;0;NA
59.80634;10.49096;19;0.6;3;4;NA;NA
59.76605;10.8087;108;0;3;13;NA;NA
59.96915;11.05529;126;0.4;3;4;NA;NA
59.1716;10.85048;4;0.9;3;12;0.51;NA
59.71846;10.81251;154;0.3;3;0;0.41;NA
59.97663;10.9364;236;1.5;3;0;0.01;NA
59.96751;10.64369;226;2.2;3;0;0.01;NA
59.40085;9.20743;134;0;3;13;NA;NA
59.93831;10.98973;167;0.1;3;13;NA;NA
59.90999;10.57545;52;1.2;3;0;0.23;NA
59.9436;10.9345;177;1.2;3;0;0.2;NA
59.10247;10.2448;30;3.1;3;0;0.07;NA
59.68112;9.65476;207;5.1;3;0;0.06;NA
59.9327;10.91504;185;1;3;0;1.38;NA
59.77634;10.29132;162;1.4;3;8;NA;NA
59.14163;10.1791;69;3.4;3;0;0.12;NA
59.93948;10.63664;123;0;3;13;NA;NA
60.01145;10.93056;132;1.7;3;0;0.03;NA
59.76002;9.89643;16;5.7;3;5;9.06;NA
60.13424;10.31361;118;1.7;3;8;NA;NA
60.00036;10.90804;230;1.8;3;0;0.1;NA
60.17525;11.51947;136;0.7;3;8;NA;NA
59.95;10.75;118;2.8;3;0;0.74;NA
59.37157;10.25605;41;3.3;3;0;0.43;NA
59.51614;10.2787;141;1.4;3;0;2.88;NA
59.66938;10.53146;129;0.3;3;12;1.55;NA
59.87169;10.77097;11;2.3;3;12;3.12;NA
59.22938;10.91875;17;0.6;3;4;NA;NA
59.22384;10.89962;23;1.2;3;12;0.12;NA
60.25041;10.38766;143;1.7;3;8;NA;NA
59.54027;9.56041;505;5.6;3;0;0.03;NA
59.26221;10.36691;34;2.4;3;0;0.22;NA
59.73035;11.04665;155;0;3;13;NA;NA
58.46851;12.23276;67;0;3;0;0.74;NA
59.29283;10.75639;11;1.4;3;0;0.66;NA
59.55036;10.28865;35;1.8;3;0;0.45;NA
59.13765;10.17241;69;3.9;3;0;0.01;NA
59.10535;10.22162;15;2.8;3;0;0.58;NA
59.944;10.82635;186;1.5;3;0;1.54;NA
59.43002;11.00097;66;1.5;3;12;1.41;NA
59.27533;10.4881;9;1.2;3;0;1.63;NA
59.92139;10.66547;17;1.8;3;0;0.02;NA
59.94999;11.02232;144;0.8;3;12;0.39;NA
59.64005;9.6482;169;3.8;3;0;0.52;NA
59.91564;10.95408;181;0.9;3;12;0.53;NA
59.71885;11.46055;148;0.6;3;8;NA;NA
59.88429;10.61598;7;1;3;0;0.76;NA
58.87548;9.47015;25;2.1;3;0;0.99;NA
60.37526;11.70473;141;0.7;3;8;NA;NA
59.9524;10.81913;251;0;3;13;NA;NA
60.13185;11.16587;188;1;3;8;NA;NA
59.10078;9.68455;40;4.1;3;0;0.14;NA
59.68223;9.6532;207;3.7;3;0;1.59;NA
59.95;10.75;118;0;3;13;NA;NA
60.20182;12.01273;201;0.5;3;8;NA;NA
59.73561;10.76502;83;0.4;3;8;NA;NA
59.98919;10.97705;120;1.5;3;0;0.17;NA
58.57495;8.98697;30;0;3;8;NA;NA
60.03108;10.63967;345;1.8;3;8;NA;NA
59.90132;10.79176;130;1.8;3;0;0.01;NA
60.02656;9.16874;382;5.8;3;0;1.36;NA
59.44006;10.43662;40;1.3;3;0;0;NA
58.44852;8.78864;47;0.5;3;8;NA;NA
59.75422;10.93094;168;0.8;3;0;0.1;NA
59.5786;9.2442;309;5.4;3;0;1;NA
58.89369;11.04408;7;0.6;3;8;NA;NA
59.11783;10.23844;23;4.4;3;0;0.77;NA
59.13215;10.23233;26;4;3;0;0.26;NA
59.90753;10.80589;72;1.6;3;0;0.46;NA
59.82932;10.68781;99;0.9;3;12;0.38;NA
59.93589;10.66589;117;2.2;3;0;0.46;NA
59.24926;10.39113;32;2.5;3;0;0;NA
58.94895;11.13624;6;0.5;3;0;1.3;NA
59.94035;10.77623;107;1.8;3;0;0.77;NA
58.75993;11.21701;27;0.1;3;0;3.88;NA
59.41752;11.35827;120;1.1;3;8;NA;NA
60.12404;12.31414;180;1.3;3;8;NA;NA
59.83503;11.12782;259;0;3;13;NA;NA
60.32098;11.24102;159;1.4;3;8;NA;NA
59.84742;10.49465;4;0.7;3;8;NA;NA
59.88349;10.23959;103;3.4;3;8;NA;NA
59.16978;10.21514;96;3.6;3;0;0.09;NA
59.25263;10.20934;91;4.7;3;0;1.07;NA
59.92013;10.96892;173;0.7;3;12;1.31;NA
59.905;10.7487;9;0;3;13;NA;NA
60.06114;10.85445;256;3.5;3;0;2.89;NA
60.12893;10.27771;119;2.6;3;0;0.12;NA
59.0933;11.97045;184;1.7;3;0;1.41;NA
59.67683;9.6382;201;6.8;3;0;0.7;NA
59.89911;10.5052;60;1.1;3;0;0.63;NA
59.97031;10.64269;315;0;3;13;NA;NA
59.28581;10.34296;10;2.3;3;0;0.59;NA
60.08878;9.48696;181;3.9;3;0;1.33;NA
59.19894;10.23242;101;2.9;3;0;1.89;NA
59.89595;10.54828;32;1;3;0;0.4;NA
59.1424;11.41651;140;1.8;3;0;0.02;NA
59.7425;10.2117;18;4.1;3;0;2.69;NA
59.76964;10.81357;126;0.6;3;0;0.17;NA
59.29405;11.09319;48;1.2;3;0;0.17;NA
60.21221;9.60507;255;0;3;8;NA;NA
60.15803;11.13047;194;0;3;13;NA;NA
59.22823;10.89798;23;1;3;12;0.05;NA
59.16166;8.62849;687;0;3;8;NA;NA
59.90154;10.75286;2;0.5;3;4;NA;NA
59.54999;11.19955;138;0.6;3;0;0.89;NA
59.97813;11.11372;193;0.9;3;8;NA;NA
59.11621;10.39137;27;2.2;3;0;0.02;NA
59.92019;10.73801;50;2;3;0;0;NA
59.90003;10.77802;108;2;3;0;0.11;NA
59.93141;10.72034;71;3.1;3;0;2.97;NA
58.85518;9.58163;4;2.4;3;0;0.01;NA
60.06645;11.08718;143;1.1;3;8;NA;NA
59.92901;10.63006;90;1.8;3;0;0.07;NA
60.22581;11.02529;203;1.2;3;8;NA;NA
59.93181;11.03581;219;0;3;13;NA;NA
60.20282;12.01365;201;0.5;3;8;NA;NA
58.74962;11.18669;9;0.2;3;0;1.75;NA
59.28872;10.42164;54;1.3;3;8;NA;NA
59.75023;8.8632;868;4.1;3;0;0.2;NA
59.92435;10.99412;175;0.9;3;12;0.02;NA
59.67352;10.81032;130;0.1;3;8;NA;NA
59.01291;10.00492;58;4.1;3;0;0.08;NA
59.57376;11.18232;144;0.6;3;8;NA;NA
58.93823;11.19368;18;1;3;12;0;NA
59.71808;10.16351;240;2.6;3;0;1.29;NA
58.44323;8.72746;25;0;3;13;NA;NA
59.84183;10.8291;140;1.1;3;8;NA;NA
59.52464;10.47266;42;0.8;3;12;0.06;NA
59.68286;10.65627;137;0.2;3;0;0.18;NA
60.26028;11.05226;213;1.1;3;8;NA;NA
59.92395;10.45093;78;1.2;3;8;NA;NA
58.64491;11.34499;24;0.2;3;0;3.76;NA
59.92712;10.92913;185;0.9;3;12;1.58;NA
59.1292;10.24786;25;3.7;3;0;0.09;NA
59.19627;10.37792;62;3;3;0;0.42;NA
59.95449;10.75495;118;3.6;3;4;NA;NA
59.94271;10.72061;93;2.3;3;0;0.01;NA
59.04966;10.01547;34;4.3;3;0;0;NA
59.91195;10.94364;214;0.9;3;12;1.29;NA
59.90625;11.10096;131;0.7;3;12;0.03;NA
59.72021;10.37477;102;1.4;3;0;1.27;NA
59.38981;10.68894;29;0.7;3;8;NA;NA
59.73728;9.86679;28;7;3;0;1;NA
59.92228;11.06737;200;0.7;3;12;0.24;NA
59.93883;10.99547;167;0.9;3;12;0.15;NA
59.20851;10.2805;82;3.7;3;0;0.23;NA
59.80082;10.80306;151;1.3;3;12;0.85;NA
59.88586;10.51031;33;1.1;3;0;0.4;NA
59.73392;10.13034;303;0.5;3;4;NA;NA
60.0226;11.11346;130;1.1;3;0;0;NA
59.89532;10.58218;8;0.8;3;12;2.41;NA
59.21603;10.89612;15;1.3;3;12;0.31;NA
59.48917;10.00261;81;3.6;3;0;0.16;NA
59.37568;10.14372;78;4.8;3;0;3.42;NA
59.68673;10.34894;69;1.2;3;0;3.01;NA
59.74041;10.02188;128;0;3;13;NA;NA
59.19845;9.57283;89;3.5;3;0;0.1;NA
59.2803;10.42158;40;1.9;3;0;0.12;NA
59.57932;10.06532;77;2.3;3;8;NA;NA
59.92133;10.6144;68;0;3;13;NA;NA
59.43192;10.63204;51;0.9;3;8;NA;NA
59.33008;10.0915;112;4.3;3;0;0.04;NA
59.22797;10.42411;12;1.4;3;8;NA;NA
58.4575;8.74839;28;1.2;3;0;0.53;NA
60.47107;12.0356;149;0.6;3;8;NA;NA
59.86995;8.71029;983;3.9;3;0;0.19;NA
59.92033;10.96808;173;1;3;0;0.02;NA
59.01146;9.74347;26;2.9;3;0;0.29;NA
59.905;10.7487;9;0;3;13;NA;NA
58.99201;9.66246;30;3.2;3;0;0;NA
59.37286;8.47296;193;6.4;3;0;3.75;NA
59.76186;10.47494;130;1.6;3;0;1.66;NA
59.87253;10.80095;147;1.5;3;12;0.05;NA
59.5231;10.6859;18;0.6;3;8;NA;NA
59.91271;10.82327;102;2.2;3;0;0.39;NA
58.72224;9.0737;44;5;3;0;0.79;NA
60.49786;12.07617;163;0.5;3;8;NA;NA
59.50212;10.2981;53;1.5;3;0;0.92;NA
59.76152;10.06638;65;1.9;3;5;9.84;NA
59.76902;10.24654;33;2.9;3;0;0.1;NA
59.52117;10.69856;62;0.7;3;8;NA;NA
59.94847;10.69992;137;2.6;3;0;0.43;NA
59.14758;10.2318;67;0;3;13;NA;NA
58.59616;9.07255;4;2.1;3;0;0.12;NA
59.2858;10.4181;40;4.6;3;4;NA;NA
59.97705;11.26253;161;0.6;3;8;NA;NA
59.86847;10.79275;77;2.8;3;12;5.67;NA
58.60627;8.96573;29;2.2;3;0;0.33;NA
60.06242;10.85446;256;2.8;3;0;0.41;NA
59.96393;10.00746;85;4.4;3;0;2.78;NA
59.07284;10.04655;67;5.1;3;0;0.34;NA
59.59323;10.70747;113;0;3;8;NA;NA
59.92035;10.97059;173;0.8;3;12;0.61;NA
59.0533;10.0352;37;6.2;3;0;2.49;NA
58.89433;8.97742;108;4.9;3;0;1.64;NA
59.61964;9.68098;152;4.5;3;0;0;NA
59.10887;9.67752;105;0.2;3;13;NA;NA
59.93505;10.81755;134;1.4;3;0;2.36;NA
59.82791;10.69237;18;0.7;3;8;NA;NA
59.73285;10.14815;231;3.7;3;0;0.15;NA
59.89144;10.69596;2;1.9;3;0;0.56;NA
59.26379;10.42323;9;2.3;3;0;0.08;NA
59.62065;10.48599;137;0.7;3;12;0;NA
59.92102;10.9483;207;0;3;13;NA;NA
59.20772;10.13872;72;4.9;3;0;1.79;NA
59.14703;9.66392;9;1.3;3;8;NA;NA
59.9294;10.46599;145;1.2;3;0;0.3;NA
60.4153;10.54976;283;0;3;8;NA;NA
59.10135;11.23629;60;1.7;3;0;0.31;NA
59.07353;10.19593;12;3.6;3;0;0;NA
59.50923;10.28921;141;1.2;3;0;4.55;NA
59.84942;8.94255;324;3.5;3;0;0.6;NA
59.21054;9.57878;36;2.8;3;0;0.08;NA
59.1303;10.40122;39;2.3;3;0;0;NA
